Date,OIL,GOLD,USDIDR,SP500,IHSG,VIX,CPI,BI_rate,US_rate
2014-06-09,104.41000366210938,1253.5,11815.0,1951.27001953125,4884.89306640625,11.149999618530273,6.39492882396559,7.5,0.1
2014-06-10,104.3499984741211,1259.800048828125,11775.0,1950.7900390625,4945.89697265625,10.989999771118164,6.39492882396559,7.5,0.1
2014-06-11,104.4000015258789,1260.800048828125,11815.0,1943.8900146484375,4971.75244140625,11.600000381469727,6.39492882396559,7.5,0.1
2014-06-12,106.52999877929688,1273.5999755859375,11805.0,1930.1099853515625,4934.21533203125,12.5600004196167,6.39492882396559,7.5,0.1
2014-06-13,106.91000366210938,1273.699951171875,11780.0,1936.1600341796875,4926.4716796875,12.180000305175781,6.39492882396559,7.5,0.1
2014-06-16,106.9000015258789,1274.9000244140625,11785.0,1937.780029296875,4885.26904296875,12.649999618530273,6.39492882396559,7.5,0.1
2014-06-17,106.36000061035156,1271.699951171875,11815.0,1941.989990234375,4909.32568359375,12.0600004196167,6.39492882396559,7.5,0.1
2014-06-18,105.97000122070312,1272.4000244140625,11885.0,1956.97998046875,4887.669921875,10.609999656677246,6.39492882396559,7.5,0.1
2014-06-19,106.43000030517578,1313.699951171875,12005.0,1959.47998046875,4864.083984375,10.619999885559082,6.39492882396559,7.5,0.1
2014-06-20,107.26000213623047,1316.199951171875,11925.0,1962.8699951171875,4847.51220703125,10.850000381469727,6.39492882396559,7.5,0.1
2014-06-23,106.16999816894531,1318.0,11950.0,1962.6099853515625,4841.93994140625,10.979999542236328,6.39492882396559,7.5,0.1
2014-06-24,106.02999877929688,1320.9000244140625,11988.0,1949.97998046875,4862.05126953125,12.130000114440918,6.39492882396559,7.5,0.1
2014-06-25,106.5,1322.199951171875,11995.0,1959.530029296875,4838.79345703125,11.59000015258789,6.39492882396559,7.5,0.1
2014-06-26,105.83999633789062,1316.0999755859375,12090.0,1957.219970703125,4872.22998046875,11.630000114440918,6.39492882396559,7.5,0.1
2014-06-27,105.73999786376953,1319.0,12100.0,1960.9599609375,4844.94482421875,11.260000228881836,6.39492882396559,7.5,0.1
2014-06-30,105.37000274658203,1321.800048828125,12020.0,1960.22998046875,4878.39208984375,11.569999694824219,6.39492882396559,7.5,0.1
